;Texte;Catégorie;Sections
0;COORDONNEES;Section;COORDONNEES
1;2 Chemin des Imprimeurs, 69250;Contenu;COORDONNEES
2;Montanay;Contenu;COORDONNEES
3;;Contenu;COORDONNEES
4;33 788 598 545;Contenu;COORDONNEES
5;milo.kowalska@epitech.eu;Contenu;COORDONNEES
6;;Contenu;COORDONNEES
7;02/10/2005 - 18 ans;Contenu;COORDONNEES
8;;Contenu;COORDONNEES
9;COMPETENCES;Section;COMPETENCES
10;;Contenu;COMPETENCES
11;C/ Travail en equipe;Contenu;COMPETENCES
12;<< Communication orale;Contenu;COMPETENCES
13;C/ Capacite d'analyse;Contenu;COMPETENCES
14;;Contenu;COMPETENCES
15;CENTRES D'INTERET;Section;CENTRES D'INTERET
16;;Contenu;CENTRES D'INTERET
17;<< Cinema;Contenu;CENTRES D'INTERET
18;;Contenu;CENTRES D'INTERET
19;Pratique du theatre;Contenu;CENTRES D'INTERET
20;;Contenu;CENTRES D'INTERET
21;Volley-Ball : membre actif d'une;Contenu;CENTRES D'INTERET
22;equipe depuis 3 ans et capitaine.;Contenu;CENTRES D'INTERET
23;Culture generale;Contenu;CENTRES D'INTERET
24;;Contenu;CENTRES D'INTERET
25;Lecture;Contenu;CENTRES D'INTERET
26;;Contenu;CENTRES D'INTERET
27;Informatique;Contenu;CENTRES D'INTERET
28;;Contenu;CENTRES D'INTERET
29;LANGUES;Section;LANGUES
30;Anglais;Contenu;LANGUES
31;Avance (C1);Contenu;LANGUES
32;Espagnol;Contenu;LANGUES
33;;Contenu;LANGUES
35;Intermediaire (B1);Contenu;LANGUES
36;;Contenu;LANGUES
37;Milo KOWALSKA;Contenu;PROFIL
39;Etudiant en informatique a Epitech;Contenu;PROFIL
41;PROFIL;Section;PROFIL
42;;Contenu;PROFIL
43;Actuellement en Tere annee d'etude d'informatique a Epitech, je;Contenu;PROFIL
44;recherche un stage de 4 a 6 mois dans le cadre de ma deuxieme;Contenu;PROFIL
45;annee. Volontaire et curieux, je me distingue par mon engagement;Contenu;PROFIL
46;au service du collectif et mon godt d'apprendre.;Contenu;PROFIL
47;;Contenu;PROFIL
48;EXPERIENCE;Section;EXPERIENCE
49;;Contenu;EXPERIENCE
50;Stage d'observation 02/2020 - 02/2020;Contenu;EXPERIENCE
51;Jeannot, Fabricant de resistances chauffantes - Lyon - Stage;Contenu;EXPERIENCE
52;;Contenu;EXPERIENCE
53;e<< Accompagnement d'un salarie dans son travail, realisation de;Contenu;EXPERIENCE
54;taches simples sous sa supervision.;Contenu;EXPERIENCE
55;;Contenu;EXPERIENCE
56;<< Accompagnement et visites commerciales des clients et des;Contenu;EXPERIENCE
57;fournisseurs.;Contenu;EXPERIENCE
58;;Contenu;EXPERIENCE
59;FORMATIONS;Section;FORMATIONS
60;;Contenu;FORMATIONS
61;Expert en Technologies de I'Information, 2023 - 2028;Contenu;FORMATIONS
62;Epitech - Lyon;Contenu;FORMATIONS
63;;Contenu;FORMATIONS
64;<< Ambassadeur : Representant de I'ecole a l'exterieur (Salon, Forum,;Contenu;FORMATIONS
65;Intervention dans les lycees);Contenu;FORMATIONS
66;;Contenu;FORMATIONS
67;Baccalaureat general Mention Assez bien, 2020 - 2023;Contenu;FORMATIONS
68;Lycee Notre Dame de Bellegarde -- Neuville-Sur-Sa6ne;Contenu;FORMATIONS
69;;Contenu;FORMATIONS
70;e Specialites : NSI (Numeriques et Sciences Informatiques) et;Contenu;FORMATIONS
71;HGGSP (Histoire-Geographie, Geopolitique et Sciences;Contenu;FORMATIONS
72;Politiques).;Contenu;FORMATIONS
73;;Contenu;FORMATIONS
74;Brevet Mention Bien, 09/2016 - 06/2020;Contenu;FORMATIONS
75;College Notre Dame de Bellegarde -- Neuville-Sur-Sadne;Contenu;FORMATIONS
76;;Contenu;FORMATIONS
77;COMPETENCES INFORMATIQUES;Section;COMPETENCES INFORMATIQUES
78;HTML;Contenu;COMPETENCES INFORMATIQUES
79;;Contenu;COMPETENCES INFORMATIQUES
